,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
2055,Liga Profesional ,03/06/2017,Tigre,Velez Sarsfield,0.0,3.0,A,2.3,3.29,3.48
2056,Liga Profesional ,03/06/2017,Temperley,Talleres Cordoba,2.0,1.0,H,3.96,3.4,2.09
2057,Liga Profesional ,03/06/2017,Rosario Central,Colon Santa FE,0.0,0.0,D,1.83,3.62,4.9
2058,Liga Profesional ,03/06/2017,Union de Santa Fe,Newells Old Boys,2.0,1.0,H,2.96,3.11,2.73
2059,Liga Profesional ,04/06/2017,Lanus,Estudiantes L.P.,1.0,0.0,H,2.27,3.18,3.71
2060,Liga Profesional ,04/06/2017,San Lorenzo,River Plate,2.0,1.0,H,2.79,3.29,2.76
2061,Liga Profesional ,04/06/2017,Gimnasia L.P.,Banfield,1.0,2.0,A,3.07,3.05,2.69
2062,Liga Profesional ,04/06/2017,Belgrano,Arsenal Sarandi,1.0,2.0,A,2.06,3.24,4.3
2063,Liga Profesional ,04/06/2017,Olimpo Bahia Blanca,Huracan,3.0,1.0,H,2.32,3.21,3.55
2064,Liga Profesional ,04/06/2017,Atl. Tucuman,San Martin S.J.,1.0,2.0,A,1.77,3.73,5.19
2065,Liga Profesional ,04/06/2017,Boca Juniors,Independiente,3.0,0.0,H,2.4,3.16,3.41
2066,Liga Profesional ,05/06/2017,Quilmes,Patronato,0.0,1.0,A,2.44,3.05,3.48
2067,Liga Profesional ,06/06/2017,Racing Club,Aldosivi,1.0,1.0,D,1.49,4.38,8.03
2068,Liga Profesional ,15/06/2017,Defensa y Justicia,Independiente,1.0,2.0,A,2.68,3.04,3.09
2069,Liga Profesional ,16/06/2017,Colon Santa FE,San Lorenzo,2.0,1.0,H,2.69,3.21,2.93
2070,Liga Profesional ,16/06/2017,San Martin S.J.,Temperley,0.0,1.0,A,1.88,3.69,4.53
2071,Liga Profesional ,16/06/2017,Huracan,Union de Santa Fe,1.0,0.0,H,1.91,3.27,5.1
2072,Liga Profesional ,17/06/2017,Talleres Cordoba,Gimnasia L.P.,0.0,1.0,A,1.58,3.96,7.03
2073,Liga Profesional ,17/06/2017,Banfield,Rosario Central,3.0,1.0,H,2.38,3.2,3.37
2074,Liga Profesional ,17/06/2017,Arsenal Sarandi,Godoy Cruz,1.0,2.0,A,2.42,3.49,3.07
2075,Liga Profesional ,17/06/2017,Estudiantes L.P.,Belgrano,2.0,0.0,H,1.55,4.02,7.6
2076,Liga Profesional ,17/06/2017,Atl. Rafaela,Quilmes,1.0,1.0,D,1.59,4.19,6.39
2077,Liga Profesional ,17/06/2017,Aldosivi,Boca Juniors,0.0,4.0,A,6.1,3.85,1.66
2078,Liga Profesional ,17/06/2017,Velez Sarsfield,Sarmiento Junin,5.0,1.0,H,1.52,4.28,7.46
2079,Liga Profesional ,18/06/2017,Newells Old Boys,Lanus,1.0,1.0,D,3.01,3.16,2.66
2080,Liga Profesional ,18/06/2017,Patronato,Tigre,0.0,2.0,A,2.53,3.27,3.09
2081,Liga Profesional ,18/06/2017,Independiente,Olimpo Bahia Blanca,1.0,1.0,D,1.51,4.19,7.98
2082,Liga Profesional ,18/06/2017,Defensa y Justicia,Atl. Tucuman,3.0,0.0,H,1.56,4.1,7.21
2083,Liga Profesional ,18/06/2017,River Plate,Racing Club,2.0,3.0,A,1.58,4.3,6.31
2084,Liga Profesional ,20/06/2017,San Lorenzo,Banfield,1.0,0.0,H,2.1,3.61,3.68
2085,Liga Profesional ,20/06/2017,Gimnasia L.P.,San Martin S.J.,2.0,0.0,H,1.77,3.66,5.33
2086,Liga Profesional ,21/06/2017,Rosario Central,Talleres Cordoba,3.0,3.0,D,1.92,3.37,4.82
2087,Liga Profesional ,21/06/2017,Quilmes,Arsenal Sarandi,2.0,2.0,D,6.3,3.78,1.66
2088,Liga Profesional ,21/06/2017,Temperley,Defensa y Justicia,2.0,3.0,A,3.93,3.25,2.16
2089,Liga Profesional ,21/06/2017,Racing Club,Colon Santa FE,1.0,0.0,H,1.78,3.84,4.9
2090,Liga Profesional ,21/06/2017,Olimpo Bahia Blanca,Boca Juniors,2.0,2.0,D,2.85,3.25,2.73
2091,Liga Profesional ,22/06/2017,River Plate,Aldosivi,1.0,0.0,H,1.25,6.56,13.69
